Study	N ASD (F)	N Ctrl (F)	Age ASD	Age Ctrl	IQ ASD	IQ Ctrl	Measure ASD	Measure Ctrl
Hodge et al. 2010	22 (0)	11 (0)	9.4 ± 2.0	10.4 ± 2.7	86.8 ± 22.2	114.5 ± 11.3	318.1 ± 49.1	276.9 ± 35.3
Scott et al. 2009	48 (0)	14 (0)	12.4 ± 3.1	12.5 ± 3.1	78.8 ± 23.0	113.0 ± 12.0	314.8 ± 50.8	314.0 ± 53.0
Webb et al. 2009	45 (7)	26 (8)	3.9 ± 0.3	3.9 ± 0.5	59.0 ± 21.0	115.0 ± 15.0	284.0 ± 53.0	319.0 ± 68.0
Cleavinger et al. 2008	28 (0)	16 (0)	13.9 ± 5.3	13.9 ± 5.4	98.6 ± 18.3	102.0 ± 13.5	311.2 ± 80.6	322.6 ± 93.5
Akshoomoff et al. 2004	52 (0)	15 (0)	3.8 ± 0.8	3.6 ± 1.1	82.1 ± 24.1	108.1 ± 17.6	274.5 ± 43.2	287.3 ± 44.8
Kaufmann et al. 2003	10 (0)	22 (0)	6.9 ± 2.4	8.3 ± 1.9	66.1 ± 14.4	120.8 ± 9.2	280.0 ± 52.0	330.0 ± 55.0
Pierce & Courchesne 2001	14 (2)	14 (4)	3.8 ± 1.1	4.4 ± 1.2	84.4 ± 23.5	110.0 ± 12.2	260.3 ± 38.2	275.2 ± 41.0
Hardan et al. 2001	22 (0)	22 (0)	22.4 ± 10.1	22.4 ± 10.0	100.4 ± 14.7	100.5 ± 14.2	290.0 ± 60.0	270.0 ± 50.0
Elia et al. 2000	22 (0)	11 (0)	10.9 ± 4.0	10.9 ± 2.9	55.0 ± 10.0	115.0 ± 15.0	292.4 ± 68.6	333.3 ± 91.8
Carper & Courchesne 2000	42 (0)	29 (0)	5.4 ± 1.7	6.0 ± 1.8	79.5 ± 22.3	114.0 ± 12.0	258.4 ± 34.6	279.8 ± 41.6
Ciesielski et al. 1997	9 (4)	10 (3)	16.8 ± 5.2	16.6 ± 5.4	93.0 ± 12.8	119.0 ± 10.1	255.1 ± 31.3	289.3 ± 23.0
Hashimoto et al. 1995	96 (24)	112 (47)	6.4 ± 4.9	7.2 ± 5.2	59.5 ± 25.0	99.2 ± 18.1	254.3 ± 60.4	280.9 ± 55.0
Courchesne et al. 1994	50 (9)	53 (10)	16.5 ± 11.6	18.8 ± 10.4	81.0 ± 31.3	115.0 ± 15.0	254.1 ± 58.3	282.2 ± 41.5
Piven et al. 1992	15 (0)	15 (0)	27.7 ± 10.7	28.8 ± 5.6	92.5 ± 23.4	130.0 ± -	272.1 ± 50.9	288.0 ± 35.1
Holttum et al. 1992	18 (0)	18 (0)	20.2 ± 8.1	20.2 ± 8.3	94.5 ± 12.2	95.2 ± 12.1	292.0 ± 46.0	277.0 ± 51.0
Garber & Ritvo 1992	12 (3)	12 (4)	27.2 ± 5.3	26.4 ± 3.6	95.0 ± 15.0	115.0 ± 15.0	315.0 ± 43.0	299.0 ± 41.0
Kleiman et al. 1992	13 (3)	17 (8)	7.7 ± 5.7	7.0 ± 4.3	52.4 ± 16.6	115.0 ± 15.0	254.0 ± 23.5	257.0 ± 18.0
Ritvo & Garber 1988	15 (4)	15 (4)	11.6 ± 4.1	11.6 ± 4.1	75.0 ± 15.0	115.0 ± 15.0	340.0 ± 70.0	330.0 ± 60.0
Total	533 (56)	432 (88)	10.5 ± 8.7	11.7 ± 9.0	76.2 ± 26.2	109.2 ± 16.8	279.4 ± 59.1	290.7 ± 55.7
