Study	N ASD (F)	N Ctrl (F)	Age ASD	Age Ctrl	IQ ASD	IQ Ctrl	Measure ASD	Measure Ctrl
Hodge et al. 2010	22 (0)	11 (0)	9.4 ± 2.0	10.4 ± 2.7	86.8 ± 22.2	114.5 ± 11.3	152.1 ± 11.4	149.8 ± 10.8
Scott et al. 2009	48 (0)	14 (0)	12.4 ± 3.1	12.5 ± 3.1	78.8 ± 23.0	113.0 ± 12.0	151.2 ± 14.9	152.4 ± 11.8
Hallahan et al. 2009	114 (18)	60 (7)	31.9 ± 10.1	32.0 ± 9.0	96.8 ± 17.7	114.0 ± 12.0	129.5 ± 19.7	139.5 ± 16.7
Webb et al. 2009	45 (7)	26 (8)	3.9 ± 0.3	3.9 ± 0.5	59.0 ± 21.0	115.0 ± 15.0	1377.7 ± 129.9	1289.2 ± 138.8
Langen et al. 2009	99 (8)	89 (7)	12.9 ± 4.5	12.4 ± 4.8	107.6 ± 13.6	110.0 ± 12.8	159.2 ± 12.4	157.6 ± 17.4
Lahuis et al. 2008	21 (0)	21 (0)	11.1 ± 2.2	10.4 ± 1.8	107.0 ± 14.0	103.0 ± 15.0	156.9 ± 9.4	147.3 ± 11.9
Cleavinger et al. 2008	28 (0)	16 (0)	13.9 ± 5.3	13.9 ± 5.4	98.6 ± 18.3	102.0 ± 13.5	146.6 ± 14.0	144.4 ± 12.2
Catani et al. 2008	15 (0)	16 (0)	31.0 ± 9.0	35.0 ± 11.0	109.0 ± 17.0	120.0 ± 21.0	141.0 ± 14.0	139.0 ± 18.0
Bloss & Courchesne 2007	9 (-)	14 (-)	3.7 ± 0.9	3.8 ± 1.1	82.8 ± 18.3	118.7 ± 12.7	120.8 ± 7.1	121.8 ± 10.6
Hazlett et al. 2005	51 (5)	14 (4)	2.7 ± 0.3	2.4 ± 0.4	54.1 ± 9.3	108.1 ± 19.0	114.1 ± 10.7	114.9 ± 9.4
Palmen et al. 2004	21 (2)	21 (1)	20.1 ± 3.1	20.3 ± 2.2	114.9 ± 19.2	112.6 ± 10.2	155.7 ± 10.9	148.7 ± 10.0
Kates et al. 2004	9 (1)	16 (2)	7.6 ± 2.4	8.3 ± 2.4	69.6 ± 18.7	123.6 ± 9.7	128.5 ± 30.4	129.5 ± 21.8
Herbert et al. 2003	17 (0)	15 (0)	9.0 ± 1.4	9.0 ± 1.4	100.0 ± 15.0	115.0 ± 15.0	155.0 ± 12.3	144.9 ± 8.6
Courchesne et al. 2001	60 (0)	52 (0)	6.2 ± 3.5	8.1 ± 3.9	79.0 ± 26.1	115.0 ± 15.3	137.9 ± 14.2	139.8 ± 14.1
Hardan et al. 2001	16 (0)	19 (0)	22.4 ± 10.1	22.4 ± 10.0	100.4 ± 14.7	100.5 ± 14.2	164.0 ± 20.3	144.0 ± 34.4
Piven et al. 1997	35 (9)	36 (16)	18.0 ± 4.5	20.2 ± 3.8	91.0 ± 19.8	102.0 ± 12.8	141.5 ± 24.3	128.2 ± 14.9
Total	610 (-)	440 (-)	15.0 ± 11.4	15.4 ± 10.8	89.3 ± 25.5	111.3 ± 14.7	233.5 ± 325.7	210.5 ± 273.3
