Study	N ASD (F)	N Ctrl (F)	Age ASD	Age Ctrl	IQ ASD	IQ Ctrl	Measure ASD	Measure Ctrl
CALTECH	14 (3)	14 (4)	27.4 ± 10.7	30.1 ± 12.2	108.0 ± 13.4	111.9 ± 8.7	1e+05 ± 13734.6	1e+05 ± 10131.7
KKI	17 (3)	29 (9)	10.1 ± 1.5	10.1 ± 1.3	95.5 ± 15.7	114.4 ± 9.0	1e+05 ± 9415.0	1e+05 ± 9324.1
LEUVEN	29 (3)	32 (5)	17.8 ± 5.0	17.8 ± 5.0	101.4 ± 16.4	112.6 ± 11.2	1e+05 ± 7911.1	1e+05 ± 11570.0
MAX	12 (0)	14 (0)	21.6 ± 13.5	24.9 ± 10.1	105.5 ± 14.9	108.9 ± 12.6	1e+05 ± 11040.4	1e+05 ± 11984.3
NYU	24 (4)	50 (16)	13.8 ± 5.5	16.4 ± 6.2	109.5 ± 15.6	114.5 ± 11.5	1e+05 ± 13220.6	1e+05 ± 13131.0
OHSU	9 (0)	15 (0)	10.5 ± 1.5	10.1 ± 1.1	101.3 ± 21.7	115.7 ± 11.1	1e+05 ± 16530.3	1e+05 ± 7642.5
OLIN	13 (0)	14 (0)	16.5 ± 3.1	16.9 ± 3.8	108.4 ± 18.2	115.1 ± 16.9	1e+05 ± 21478.7	1e+05 ± 12532.5
PITT	21 (3)	20 (4)	17.9 ± 6.6	17.4 ± 5.1	110.4 ± 13.9	110.2 ± 10.4	1e+05 ± 12443.0	1e+05 ± 11491.0
SDSU	6 (0)	12 (0)	15.1 ± 1.7	14.5 ± 1.6	114.3 ± 19.3	112.5 ± 9.5	1e+05 ± 4831.9	1e+05 ± 6045.6
TRINITY	22 (0)	23 (0)	17.7 ± 3.4	17.2 ± 3.8	109.2 ± 15.6	111.9 ± 12.2	1e+05 ± 10779.3	1e+05 ± 10121.1
UCLA	49 (6)	43 (6)	13.1 ± 2.4	13.0 ± 2.0	101.5 ± 13.1	106.6 ± 10.9	1e+05 ± 10280.7	1e+05 ± 12240.7
USM	52 (0)	38 (0)	22.6 ± 7.9	21.8 ± 7.9	99.6 ± 15.6	114.9 ± 13.1	1e+05 ± 12942.0	1e+05 ± 9328.4
YALE	25 (8)	24 (8)	13.0 ± 3.0	12.8 ± 2.8	93.7 ± 21.3	106.2 ± 17.7	1e+05 ± 12925.9	1e+05 ± 10477.1
Total	293 (30)	328 (52)	17.0 ± 7.4	16.6 ± 7.2	103.0 ± 16.6	111.9 ± 12.3	1e+05 ± 13466.4	1e+05 ± 11626.1
