Study	N ASD (F)	N Ctrl (F)	Age ASD	Age Ctrl	IQ ASD	IQ Ctrl	Measure ASD	Measure Ctrl
CALTECH	14 (3)	14 (4)	27.4 ± 10.7	30.1 ± 12.2	108.0 ± 13.4	111.9 ± 8.7	31439.6 ± 3506.9	29017.4 ± 4773.2
KKI	17 (3)	29 (9)	10.1 ± 1.5	10.1 ± 1.3	95.5 ± 15.7	114.4 ± 9.0	30860.2 ± 3993.2	30472.3 ± 2820.6
LEUVEN	29 (3)	32 (5)	17.8 ± 5.0	17.8 ± 5.0	101.4 ± 16.4	112.6 ± 11.2	29129.1 ± 3909.9	30659.6 ± 4286.4
MAX	12 (0)	14 (0)	21.6 ± 13.5	24.9 ± 10.1	105.5 ± 14.9	108.9 ± 12.6	30164.7 ± 2702.3	31764.3 ± 3910.8
NYU	24 (4)	50 (16)	13.8 ± 5.5	16.4 ± 6.2	109.5 ± 15.6	114.5 ± 11.5	30722.7 ± 5370.0	29792.2 ± 3985.2
OHSU	9 (0)	15 (0)	10.5 ± 1.5	10.1 ± 1.1	101.3 ± 21.7	115.7 ± 11.1	28168.2 ± 2991.0	26773.2 ± 3529.5
OLIN	13 (0)	14 (0)	16.5 ± 3.1	16.9 ± 3.8	108.4 ± 18.2	115.1 ± 16.9	30740.4 ± 5555.9	34066.6 ± 4297.5
PITT	21 (3)	20 (4)	17.9 ± 6.6	17.4 ± 5.1	110.4 ± 13.9	110.2 ± 10.4	30366.8 ± 3203.4	31335.8 ± 3730.2
SDSU	6 (0)	12 (0)	15.1 ± 1.7	14.5 ± 1.6	114.3 ± 19.3	112.5 ± 9.5	30047.8 ± 2052.9	28688.7 ± 3421.9
TRINITY	22 (0)	23 (0)	17.7 ± 3.4	17.2 ± 3.8	109.2 ± 15.6	111.9 ± 12.2	32665.0 ± 4078.4	32838.7 ± 3632.9
UCLA	49 (6)	43 (6)	13.1 ± 2.4	13.0 ± 2.0	101.5 ± 13.1	106.6 ± 10.9	28589.5 ± 2675.4	28239.7 ± 2955.2
USM	52 (0)	38 (0)	22.6 ± 7.9	21.8 ± 7.9	99.6 ± 15.6	114.9 ± 13.1	31993.9 ± 4223.5	32216.2 ± 3150.6
YALE	25 (8)	24 (8)	13.0 ± 3.0	12.8 ± 2.8	93.7 ± 21.3	106.2 ± 17.7	26990.5 ± 4169.7	26001.5 ± 3147.3
Total	293 (30)	328 (52)	17.0 ± 7.4	16.6 ± 7.2	103.0 ± 16.6	111.9 ± 12.3	30163.6 ± 4167.1	30099.8 ± 4114.1
