Study	N ASD (F)	N Ctrl (F)	Age ASD	Age Ctrl	IQ ASD	IQ Ctrl	Measure ASD	Measure Ctrl
Hodge et al. 2010	22 (0)	11 (0)	9.4 ± 2.0	10.4 ± 2.7	86.8 ± 22.2	114.5 ± 11.3	1164.9 ± 120.2	1121.5 ± 120.5
Scott et al. 2009	48 (0)	14 (0)	12.4 ± 3.1	12.5 ± 3.1	78.8 ± 23.0	113.0 ± 12.0	1184.6 ± 112.7	1154.0 ± 120.0
Webb et al. 2009	45 (7)	26 (8)	3.9 ± 0.3	3.9 ± 0.5	59.0 ± 21.0	115.0 ± 15.0	1023.0 ± 114.0	1087.0 ± 134.0
Cleavinger et al. 2008	28 (0)	16 (0)	13.9 ± 5.3	13.9 ± 5.4	98.6 ± 18.3	102.0 ± 13.5	1222.1 ± 229.1	1226.0 ± 220.0
Kaufmann et al. 2003	10 (0)	22 (0)	6.9 ± 2.4	8.3 ± 1.9	66.1 ± 14.4	120.8 ± 9.2	1130.0 ± 130.6	1150.0 ± 165.5
Hardan et al. 2001	22 (0)	22 (0)	22.4 ± 10.1	22.4 ± 10.0	100.4 ± 14.7	100.5 ± 14.2	1030.0 ± 150.0	1040.0 ± 140.0
Elia et al. 2000	22 (0)	11 (0)	10.9 ± 4.0	10.9 ± 2.9	55.0 ± 10.0	115.0 ± 15.0	1034.8 ± 122.1	1027.8 ± 149.9
Hashimoto et al. 1995	96 (24)	112 (47)	6.4 ± 4.9	7.2 ± 5.2	59.5 ± 25.0	99.2 ± 18.1	894.2 ± 160.6	960.4 ± 138.0
Holttum et al. 1992	18 (0)	18 (0)	20.2 ± 8.1	20.2 ± 8.3	94.5 ± 12.2	95.2 ± 12.1	1080.0 ± 114.4	1055.0 ± 133.4
Garber & Ritvo 1992	12 (3)	12 (4)	27.2 ± 5.3	26.4 ± 3.6	95.0 ± 15.0	115.0 ± 15.0	952.0 ± 76.0	935.0 ± 90.0
Ritvo & Garber 1988	15 (4)	15 (4)	11.6 ± 4.1	11.6 ± 4.1	75.0 ± 15.0	115.0 ± 15.0	1030.0 ± 150.0	1030.0 ± 110.0
Total	338 (38)	279 (63)	10.8 ± 7.7	11.0 ± 8.0	73.6 ± 26.0	105.8 ± 17.4	1040.3 ± 184.0	1036.1 ± 162.8
