label	n.asd	n.male.asd	n.ctrl	n.male.ctrl	age.asd	age.ctrl	age.sd.asd	age.sd.ctrl	iq.asd	iq.ctrl	iq.sd.asd	iq.sd.ctrl	mean.asd	mean.ctrl	sd.asd	sd.ctrl	n.asd.tot	n.male.asd.tot	n.ctrl.tot	n.male.ctrl.tot
CALTECH	14	11	14	10	27.4428571428571	30.0928571428571	10.707704938732	12.1768673681329	108	111.857142857143	13.3704611277708	8.74297205986388	158877.142857143	147444.642857143	16066.7786913396	13034.2505883959	19	15	19	15
CMU	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	11	13	10
KKI	17	14	29	20	10.1247058823529	10.1344827586207	1.52897481031842	1.30008402532544	95.4705882352941	114.379310344828	15.6928233878532	8.99370332551553	140397.411764706	139081.517241379	12239.7772143676	11647.5348913122	22	18	33	24
LEUVEN	29	26	32	27	17.751724137931	17.840625	4.99990147686183	4.98435354303198	101.356845002975	112.560170558698	16.4327773850769	11.2005624926823	132700.586206897	138285.8125	10171.5645008076	14917.6144582504	29	26	35	30
MAX	14	12	18	14	23.7857142857143	27	14.0009811273165	10.3070506992858	108.071428571429	108.777777777778	15.3194912835516	11.6647057175535	146631.785714286	147784.555555556	16015.3564295627	12979.7568690282	24	21	33	29
NYU	29	24	53	36	13.2585862068966	17.0671509433962	5.3046384117867	6.67788012596647	111.206896551724	114.452830188679	16.5796331821064	11.3248637922457	140048.24137931	137108.735849057	15971.0368919473	15108.4838115123	79	68	105	79
OHSU	11	11	15	15	11.0854545454545	10.064	1.91441564784852	1.08141970179416	106.009090909091	115.706666666667	22.011472215436	11.0864438886073	146455.818181818	144033.333333333	18625.6292179254	9386.48403417433	13	13	15	15
OLIN	15	13	16	14	16.4666666666667	16.9375	3.0441200151549	3.67820155329567	110.4	114.9375	17.9674308521995	16.5387172013632	132464.533333333	149546	24277.6874600841	13670.3079604423	20	17	16	14
PITT	23	20	20	16	19.3652173913043	17.3585	7.88969631260534	5.13490150061835	109.782608695652	110.15	15.0150122505903	10.4492507915765	145533.739130435	148894.1	14656.0922834077	13896.1454477586	30	26	27	23
SBL	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	15	15	15
SDSU	7	6	17	12	14.7557142857143	14.1129411764706	1.88308131478575	2.08249779323377	111.428571428571	109.294117647059	19.2254791258644	11.2736679140063	149989.857142857	141208.470588235	4650.94178378858	8645.03645247988	14	13	22	16
STANFORD	5	3	5	3	10.02202	11.00082	1.60635009789273	2.03724301495919	107.8	121	25.6846257516048	9.4339811320566	135473.4	141432.6	5521.59947841203	20924.888740445	20	16	20	16
TRINITY	22	22	23	23	17.7254545454545	17.175652173913	3.38686219055861	3.79199015400399	109.181818181818	111.913043478261	15.5919282036644	12.1875981804092	153191.590909091	152177.52173913	12967.4829795406	12854.3288494561	24	24	25	25
UCLA	49	43	43	37	13.0783673469388	12.9683720930233	2.438209167725	1.96360326008392	101.489795918367	106.558139534884	13.1404630324613	10.9137360491948	138582.285714286	136997.418604651	11964.2343413609	14124.7467962684	62	55	47	41
UM	16	14	6	4	13.5375	16.9166666666667	2.45950537032686	1.09802853636263	106.679389632784	114.262943484237	19.6235200148461	4.69215879656015	131670.5625	145139.5	18623.4313772328	7820.98637641059	68	58	77	59
USM	52	52	38	38	22.6369384615385	21.7961789473684	7.87182842860997	7.88015372446289	99.5769230769231	114.921052631579	15.6334811070145	13.0991676627416	143147.019230769	144371.342105263	15890.8029406214	10417.8823087382	58	58	43	43
YALE	25	17	24	16	12.9896	12.7666666666667	3.00103382186872	2.78002293807657	93.68	106.25	21.2734576409196	17.7476269081127	138969.28	135114.625	15738.0764112603	12385.4361240812	28	20	28	20
