label	n.asd	n.male.asd	n.ctrl	n.male.ctrl	age.asd	age.ctrl	age.sd.asd	age.sd.ctrl	iq.asd	iq.ctrl	iq.sd.asd	iq.sd.ctrl	mean.asd	mean.ctrl	sd.asd	sd.ctrl
Hodge et al. 2010	22	22	11	11	9.39090909090909	10.4	1.95202192876761	2.7	86.7545454545455	114.5	22.1884295732349	11.3	483.618181818182	472.2	59.6000330485977	58
Scott et al. 2009	48	48	14	14	12.4125	12.5	3.11493485468576	3.1	78.8125	113	23.0288036569931	12	493.5625	489	53.1458876333854	54
Webb et al. 2009	45	38	26	18	3.94416666666667	3.90833333333333	0.333333333333333	0.5	59	115	21	15	426	452	54	58
Cleavinger et al. 2008	28	28	16	16	13.89	13.94	5.35	5.4	98.61	102	18.28	13.53	460.02	456.94	66.51	54.79
Akshoomoff et al. 2004	52	52	15	15	3.8	3.6	0.8	1.1	82.1307692307692	108.1	24.1436188010092	17.600192153735	455.665384615385	406.8	46.340419339439	33
Kaufmann et al. 2003	10	10	22	22	6.9	8.3	2.4	1.9	66.1	120.8	14.4	9.2	490	480	53	82
Pierce & Courchesne 2001	14	12	14	10	3.8	4.4	1.1	1.2	84.4	110	23.5	12.2	431.9	438.3	50	60
Hardan et al. 2001	22	22	22	22	22.4	22.4	10.1	10	100.4	100.5	14.7	14.2	450	440	70	80
Ciesielski et al. 1997	9	5	10	7	16.8	16.6	5.21837573508271	5.43826810162301	93	119	12.8452325786651	10.099640760157	392.7	437.7	40.6	28.2
Hashimoto et al. 1995	96	72	112	65	6.39322916666667	7.20647321428571	4.89992993035292	5.20358007845653	59.5	99.2	25	18.1	372.466979166667	392.981160714286	69.5481957028028	68.1804474989944
Courchesne et al. 1994	50	41	53	43	16.52	18.81	11.64583454201	10.3848311121577	81	115	31.2598716653954	15	423.7	426.6	50.1758795256761	50.1758795256761
Piven et al. 1992	15	15	15	15	27.7	28.8	10.7	5.6	92.5	130	23.4	0	464.8	452.1	62.6	33.6
Holttum et al. 1992	18	18	18	18	20.2	20.2	8.1	8.3	94.5	95.2	12.2	12.1	460	434	44	65
Garber & Ritvo 1992	12	9	12	8	27.2	26.4	5.3	3.6	95	115	15	15	463	448	51	40
Kleiman et al. 1992	13	10	17	9	7.74615384615385	7	5.66827654356763	4.27043326140002	52.4358974358974	115	16.6019770215972	15	359.076923076923	371	17.7551003867506	17
Ritvo & Garber 1988	15	11	15	11	11.6	11.6	4.1	4.1	75	115	15	15	470	470	40	60
