label	n.asd	n.male.asd	n.ctrl	n.male.ctrl	age.asd	age.ctrl	age.sd.asd	age.sd.ctrl	iq.asd	iq.ctrl	iq.sd.asd	iq.sd.ctrl	mean.asd	mean.ctrl	sd.asd	sd.ctrl
Hodge et al. 2010	22	22	11	11	9.39090909090909	10.4	1.95202192876761	2.7	86.7545454545455	114.5	22.1884295732349	11.3	318.081818181818	276.9	49.0812847307659	35.3
Scott et al. 2009	48	48	14	14	12.4125	12.5	3.11493485468576	3.1	78.8125	113	23.0288036569931	12	314.8125	314	50.8268467550745	53
Webb et al. 2009	45	38	26	18	3.94416666666667	3.90833333333333	0.333333333333333	0.5	59	115	21	15	284	319	53	68
Cleavinger et al. 2008	28	28	16	16	13.89	13.94	5.35	5.4	98.61	102	18.28	13.53	311.2	322.59	80.63	93.49
Akshoomoff et al. 2004	52	52	15	15	3.8	3.6	0.8	1.1	82.1307692307692	108.1	24.1436188010092	17.600192153735	274.503846153846	287.3	43.2046405529452	44.8
Kaufmann et al. 2003	10	10	22	22	6.9	8.3	2.4	1.9	66.1	120.8	14.4	9.2	280	330	52	55
Pierce & Courchesne 2001	14	12	14	10	3.8	4.4	1.1	1.2	84.4	110	23.5	12.2	260.28	275.2	38.2	41
Hardan et al. 2001	22	22	22	22	22.4	22.4	10.1	10	100.4	100.5	14.7	14.2	290	270	60	50
Elia et al. 2000	22	22	11	11	10.92	10.86	4.02	2.85	55	115	10	15	292.44	333.3	68.646	91.75
Carper & Courchesne 2000	42	42	29	29	5.4	6	1.7	1.8	79.5	114	22.3	12	258.36	279.84	34.58	41.64
Ciesielski et al. 1997	9	5	10	7	16.8	16.6	5.21837573508271	5.43826810162301	93	119	12.8452325786651	10.099640760157	255.1	289.3	31.3	23
Hashimoto et al. 1995	96	72	112	65	6.39322916666667	7.20647321428571	4.89992993035292	5.20358007845653	59.5	99.2	25	18.1	254.266875	280.914375	60.4135817914186	55.0202713712684
Courchesne et al. 1994	50	41	53	43	16.52	18.81	11.64583454201	10.3848311121577	81	115	31.2598716653954	15	254.118367346939	282.2	58.3266186854588	41.5
Piven et al. 1992	15	15	15	15	27.7	28.8	10.7	5.6	92.5	130	23.4	0	272.1	288	50.9	35.1
Holttum et al. 1992	18	18	18	18	20.2	20.2	8.1	8.3	94.5	95.2	12.2	12.1	292	277	46	51
Garber & Ritvo 1992	12	9	12	8	27.2	26.4	5.3	3.6	95	115	15	15	315	299	43	41
Kleiman et al. 1992	13	10	17	9	7.74615384615385	7	5.66827654356763	4.27043326140002	52.4358974358974	115	16.6019770215972	15	254	257	23.4982268834622	18
Ritvo & Garber 1988	15	11	15	11	11.6	11.6	4.1	4.1	75	115	15	15	340	330	70	60
