label	n.asd	n.male.asd	n.ctrl	n.male.ctrl	age.asd	age.ctrl	age.sd.asd	age.sd.ctrl	iq.asd	iq.ctrl	iq.sd.asd	iq.sd.ctrl	mean.asd	mean.ctrl	sd.asd	sd.ctrl
Hodge et al. 2010	22	22	11	11	9.39090909090909	10.4	1.95202192876761	2.7	86.7545454545455	114.5	22.1884295732349	11.3	152.136363636364	149.8	11.4178033686972	10.8
Scott et al. 2009	48	48	14	14	12.4125	12.5	3.11493485468576	3.1	78.8125	113	23.0288036569931	12	151.2125	152.4	14.8896954943643	11.8
Hallahan et al. 2009	114	96	60	53	31.859649122807	32	10.1496564247029	9	96.8245614035088	114	17.6561281266703	12	129.488771929825	139.5	19.6884789158106	16.69
Webb et al. 2009	45	38	26	18	3.94416666666667	3.90833333333333	0.333333333333333	0.5	59	115	21	15	1377.71	1289.17	129.9	138.8
Langen et al. 2009	99	91	89	82	12.89	12.36	4.45	4.79	107.59	109.99	13.56	12.81	159.18	157.64	12.36	17.4
Lahuis et al. 2008	21	21	21	21	11.12	10.37	2.18	1.84	107	103	14	15	156.89	147.35	9.36	11.86
Cleavinger et al. 2008	28	28	16	16	13.89	13.94	5.35	5.4	98.61	102	18.28	13.53	146.6	144.37	13.96	12.19
Catani et al. 2008	15	15	16	16	31	35	9	11	109	120	17	21	141	139	14	18
Bloss & Courchesne 2007	9	0	14	0	3.72	3.78	0.94	1.09	82.78	118.7	18.34	12.74	120.77	121.82	7.09845757893924	10.5988112540983
Hazlett et al. 2005	51	46	14	10	2.7	2.4	0.3	0.4	54.1	108.1	9.3	19	114.1	114.9	10.7121426428143	9.35414346693485
Palmen et al. 2004	21	19	21	20	20.08	20.28	3.1	2.22	114.9	112.62	19.18	10.2	155.67	148.72	10.94	10.01
Kates et al. 2004	9	8	16	14	7.6	8.3	2.4	2.4	69.6	123.6	18.7	9.7	128.5	129.46	30.3591106589109	21.7523240137692
Herbert et al. 2003	17	17	15	15	9	9	1.37571004394095	1.4080153722988	100	115	15	15	155.03	144.88	12.31	8.6
Courchesne et al. 2001	60	60	52	52	6.2	8.1	3.5	3.9	79	115	26.0955345909287	15.2883495466662	137.853865028577	139.805517419271	14.2433160728632	14.0892101675515
Hardan et al. 2001	16	16	19	19	22.4	22.4	10.1	10	100.4	100.5	14.7	14.2	164	144	20.3	34.4
Piven et al. 1997	35	26	36	20	18	20.2	4.5	3.8	91	102	19.8	12.8	141.5	128.2	24.3	14.9
