label	n.asd	n.male.asd	n.ctrl	n.male.ctrl	age.asd	age.ctrl	age.sd.asd	age.sd.ctrl	iq.asd	iq.ctrl	iq.sd.asd	iq.sd.ctrl	mean.asd	mean.ctrl	sd.asd	sd.ctrl
CALTECH	14	11	14	10	27.4428571428571	30.0928571428571	10.707704938732	12.1768673681329	108	111.857142857143	13.3704611277708	8.74297205986388	31439.6428571429	29017.4285714286	3506.87611606207	4773.23518275499
KKI	17	14	29	20	10.1247058823529	10.1344827586207	1.52897481031842	1.30008402532544	95.4705882352941	114.379310344828	15.6928233878532	8.99370332551553	30860.1764705882	30472.3448275862	3993.17643354407	2820.55288749086
LEUVEN	29	26	32	27	17.751724137931	17.840625	4.99990147686183	4.98435354303198	101.356845002975	112.560170558698	16.4327773850769	11.2005624926823	29129.1034482759	30659.625	3909.86428650871	4286.41775958404
MAX	12	12	14	14	21.5833333333333	24.8571428571429	13.5274692475135	10.1136400116731	105.5	108.928571428571	14.8782941348676	12.633680782333	30164.6666666667	31764.2857142857	2702.327156472	3910.76717692167
NYU	24	20	50	34	13.8412083333333	16.4095	5.50043542133487	6.18412024413154	109.541666666667	114.52	15.5953704576116	11.5037527151192	30722.7083333333	29792.16	5370.04446973059	3985.17545953316
OHSU	9	9	15	15	10.4622222222222	10.064	1.47492184350373	1.08141970179416	101.344444444444	115.706666666667	21.6505837745262	11.0864438886073	28168.2222222222	26773.2	2990.96981670569	3529.46627288441
OLIN	13	13	14	14	16.4615384615385	16.8571428571429	3.12557686983231	3.82013175079167	108.384615384615	115.142857142857	18.2096058054463	16.9472355034322	30740.3846153846	34066.6428571429	5555.87020694421	4297.54270766165
PITT	21	18	20	16	17.9209523809524	17.3585	6.57570445257533	5.13490150061835	110.380952380952	110.15	13.8941577307737	10.4492507915765	30366.8095238095	31335.75	3203.43482248426	3730.16701862559
SDSU	6	6	12	12	15.1416666666667	14.5366666666667	1.73318685278497	1.55856771855872	114.333333333333	112.5	19.3045763140937	9.5203132110432	30047.8333333333	28688.6666666667	2052.88513236047	3421.92060195157
TRINITY	22	22	23	23	17.7254545454545	17.175652173913	3.38686219055861	3.79199015400399	109.181818181818	111.913043478261	15.5919282036644	12.1875981804092	32665.0454545455	32838.652173913	4078.36809657599	3632.92781512122
UCLA	49	43	43	37	13.0783673469388	12.9683720930233	2.438209167725	1.96360326008392	101.489795918367	106.558139534884	13.1404630324613	10.9137360491948	28589.5102040816	28239.7209302326	2675.44442665177	2955.17752529016
USM	52	52	38	38	22.6369384615385	21.7961789473684	7.87182842860997	7.88015372446289	99.5769230769231	114.921052631579	15.6334811070145	13.0991676627416	31993.8846153846	32216.2105263158	4223.46807430347	3150.63792045867
YALE	25	17	24	16	12.9896	12.7666666666667	3.00103382186872	2.78002293807657	93.68	106.25	21.2734576409196	17.7476269081127	26990.48	26001.5416666667	4169.66770378648	3147.33808823689
