label	n.asd	n.male.asd	n.ctrl	n.male.ctrl	age.asd	age.ctrl	age.sd.asd	age.sd.ctrl	iq.asd	iq.ctrl	iq.sd.asd	iq.sd.ctrl	mean.asd	mean.ctrl	sd.asd	sd.ctrl
Hodge et al. 2010	22	22	11	11	9.39090909090909	10.4	1.95202192876761	2.7	86.7545454545455	114.5	22.1884295732349	11.3	1164.9	1121.5	120.204918289363	120.5
Scott et al. 2009	48	48	14	14	12.4125	12.5	3.11493485468576	3.1	78.8125	113	23.0288036569931	12	1184.625	1154	112.707609854654	120
Webb et al. 2009	45	38	26	18	3.94416666666667	3.90833333333333	0.333333333333333	0.5	59	115	21	15	1023	1087	114	134
Cleavinger et al. 2008	28	28	16	16	13.89	13.94	5.35	5.4	98.61	102	18.28	13.53	1222.1	1225.97	229.072836473641	219.969319115987
Kaufmann et al. 2003	10	10	22	22	6.9	8.3	2.4	1.9	66.1	120.8	14.4	9.2	1130	1150	130.648383074572	165.496223521868
Hardan et al. 2001	22	22	22	22	22.4	22.4	10.1	10	100.4	100.5	14.7	14.2	1030	1040	150	140
Elia et al. 2000	22	22	11	11	10.92	10.86	4.02	2.85	55	115	10	15	1034.79	1027.79	122.091	149.9
Hashimoto et al. 1995	96	72	112	65	6.39322916666667	7.20647321428571	4.89992993035292	5.20358007845653	59.5	99.2	25	18.1	894.231354166667	960.427410714286	160.621221837162	137.977293795556
Holttum et al. 1992	18	18	18	18	20.2	20.2	8.1	8.3	94.5	95.2	12.2	12.1	1080	1055	114.350338871382	133.424135747623
Garber & Ritvo 1992	12	9	12	8	27.2	26.4	5.3	3.6	95	115	15	15	952	935	76	90
Ritvo & Garber 1988	15	11	15	11	11.6	11.6	4.1	4.1	75	115	15	15	1030	1030	150	110
